time,pitch,pitchRate,angleOfAttack,altitude,verticalSpeed,indicatedAirspeed,liftCoefficient,targetSpeed,speedError,pidIntegral,pidDerivative
0,9.98,-2,9.98,0.06,6.82,150.02,2.098,200,-20000,0,0
0,9.98,-0.5,9.95,0.06,13.6,150.05,2.093,200,-4998,0,0
0,9.98,-0.5,9.92,0.06,20.34,150.07,2.089,200,-4995,0,0
0,9.98,-0.5,9.89,0.07,27.13,150.1,2.085,200,-4993,0,0
0,9.98,-0.5,9.86,0.07,33.8,150.12,2.081,200,-4990,0,0
0,9.98,-0.5,9.84,0.08,40.43,150.14,2.077,200,-4988,0,0
0.1,9.97,-0.5,9.81,0.08,47.1,150.17,2.073,200,-4986,0,0
0.1,9.97,-0.5,9.78,0.09,53.65,150.19,2.069,200,-4983,0,0
0.1,9.97,-0.5,9.75,0.1,60.33,150.22,2.065,200,-4981,0,0
0.1,9.97,-0.5,9.72,0.11,66.73,150.24,2.061,200,-4978,0,0
0.1,9.96,-0.5,9.69,0.12,73.17,150.26,2.057,200,-4976,0,0
0.1,9.96,-0.5,9.66,0.13,79.58,150.29,2.053,200,-4974,0,0
0.1,9.96,-0.5,9.63,0.14,86.02,150.31,2.049,200,-4971,0,0
0.1,9.96,-0.5,9.61,0.15,92.36,150.33,2.045,200,-4969,0,0
0.1,9.95,-0.5,9.58,0.17,98.66,150.36,2.041,200,-4967,0,0
0.1,9.95,-0.5,9.55,0.18,105,150.38,2.037,200,-4964,0,0
0.1,9.95,-0.5,9.52,0.2,111.22,150.41,2.033,200,-4962,0,0
0.1,9.95,-0.5,9.49,0.21,117.49,150.43,2.029,200,-4959,0,0
0.2,9.95,-0.5,9.47,0.23,123.65,150.45,2.025,200,-4957,0,0
0.2,9.95,-0.5,9.44,0.25,129.77,150.48,2.022,200,-4955,0,0
0.2,9.94,-0.5,9.41,0.27,135.85,150.5,2.018,200,-4952,0,0
0.2,9.94,-0.49,9.39,0.29,141.98,150.53,2.014,200,-4950,0,0
0.2,9.94,-0.49,9.36,0.31,148,150.55,2.01,200,-4947,0,0
0.2,9.94,-0.49,9.33,0.33,154.05,150.57,2.006,200,-4945,0,0
0.2,9.93,-0.49,9.31,0.35,160,150.6,2.003,200,-4943,0,0
0.2,9.93,-0.49,9.28,0.37,165.92,150.62,1.999,200,-4940,0,0
0.2,9.93,-0.49,9.25,0.4,171.87,150.65,1.995,200,-4938,0,0
0.2,9.93,-0.49,9.23,0.42,177.79,150.67,1.992,200,-4935,0,0
0.2,9.93,-0.49,9.2,0.45,183.53,150.69,1.988,200,-4933,0,0
0.3,9.93,-0.49,9.17,0.47,189.46,150.72,1.984,200,-4931,0,0
0.3,9.92,-0.49,9.15,0.5,195.14,150.74,1.981,200,-4928,0,0
0.3,9.92,-0.49,9.12,0.53,200.92,150.76,1.977,200,-4926,0,0
0.3,9.92,-0.49,9.1,0.56,206.67,150.79,1.974,200,-4924,0,0
0.3,9.92,-0.49,9.07,0.59,212.32,150.81,1.97,200,-4921,0,0
0.3,9.91,-0.49,9.05,0.62,217.94,150.84,1.966,200,-4919,0,0
0.3,9.91,-0.49,9.02,0.65,223.6,150.86,1.963,200,-4916,0,0
0.3,9.91,-0.49,9,0.68,229.15,150.88,1.959,200,-4914,0,0
0.3,9.91,-0.49,8.97,0.71,234.68,150.91,1.956,200,-4912,0,0
0.3,9.9,-0.49,8.95,0.75,240.1,150.93,1.953,200,-4909,0,0
0.3,9.9,-0.49,8.92,0.78,245.56,150.95,1.949,200,-4907,0,0
0.3,9.9,-0.49,8.9,0.82,251.13,150.98,1.946,200,-4905,0,0
0.3,9.9,-0.49,8.87,0.85,256.46,151,1.942,200,-4902,0,0
0.4,9.9,-0.49,8.85,0.89,261.89,151.03,1.939,200,-4900,0,0
0.4,9.9,-0.49,8.83,0.92,267.23,151.05,1.936,200,-4897,0,0
0.4,9.89,-0.49,8.8,0.96,272.6,151.07,1.932,200,-4895,0,0
0.4,9.89,-0.49,8.78,1,277.81,151.1,1.929,200,-4893,0,0
0.4,9.89,-0.49,8.75,1.04,283.12,151.12,1.926,200,-4890,0,0
0.4,9.89,-0.49,8.73,1.08,288.4,151.15,1.922,200,-4888,0,0
0.4,9.88,-0.49,8.71,1.12,293.59,151.17,1.919,200,-4885,0,0
0.4,9.88,-0.49,8.68,1.16,298.81,151.19,1.916,200,-4883,0,0
0.4,9.88,-0.49,8.66,1.21,303.94,151.22,1.912,200,-4881,0,0
0.4,9.88,-0.49,8.64,1.25,309.04,151.24,1.909,200,-4878,0,0
0.4,9.88,-0.49,8.61,1.29,314.1,151.26,1.906,200,-4876,0,0
0.4,9.88,-0.49,8.59,1.34,319.21,151.29,1.903,200,-4874,0,0
0.5,9.87,-0.49,8.57,1.38,324.22,151.31,1.899,200,-4871,0,0
0.5,9.87,-0.49,8.55,1.43,329.2,151.34,1.896,200,-4869,0,0
0.5,9.87,-0.49,8.52,1.47,334.15,151.36,1.893,200,-4866,0,0
0.5,9.87,-0.49,8.5,1.52,339.14,151.38,1.89,200,-4864,0,0
0.5,9.86,-0.49,8.48,1.57,344.1,151.41,1.887,200,-4862,0,0
0.5,9.86,-0.49,8.46,1.62,348.97,151.43,1.884,200,-4859,0,0
0.5,9.86,-0.49,8.43,1.67,353.81,151.45,1.881,200,-4857,0,0
0.5,9.86,-0.49,8.41,1.72,358.62,151.48,1.878,200,-4855,0,0
0.5,9.86,-0.49,8.39,1.77,363.41,151.5,1.875,200,-4852,0,0
0.5,9.86,-0.48,8.37,1.82,368.22,151.53,1.872,200,-4850,0,0
0.5,9.85,-0.48,8.35,1.87,372.96,151.55,1.868,200,-4847,0,0
0.5,9.85,-0.48,8.32,1.92,377.66,151.57,1.865,200,-4845,0,0
0.6,9.85,-0.48,8.3,1.98,382.45,151.6,1.862,200,-4843,0,0
0.6,9.85,-0.48,8.28,2.03,387.04,151.62,1.859,200,-4840,0,0
0.6,9.84,-0.48,8.26,2.08,391.67,151.64,1.857,200,-4838,0,0
0.6,9.84,-0.48,8.24,2.14,396.32,151.67,1.854,200,-4836,0,0
0.6,9.84,-0.48,8.22,2.19,400.95,151.69,1.851,200,-4833,0,0
0.6,9.84,-0.48,8.2,2.25,405.55,151.72,1.848,200,-4831,0,0
0.6,9.83,-0.48,8.18,2.31,410.01,151.74,1.845,200,-4828,0,0
0.6,9.83,-0.48,8.16,2.36,414.56,151.76,1.842,200,-4826,0,0
0.6,9.83,-0.48,8.14,2.42,419.02,151.79,1.839,200,-4824,0,0
0.6,9.83,-0.48,8.12,2.48,423.47,151.81,1.836,200,-4821,0,0
0.6,9.83,-0.48,8.09,2.54,427.88,151.83,1.833,200,-4819,0,0
0.7,9.83,-0.48,8.07,2.6,432.32,151.86,1.83,200,-4817,0,0
0.7,9.82,-0.48,8.05,2.66,436.69,151.88,1.828,200,-4814,0,0
0.7,9.82,-0.48,8.03,2.72,441.03,151.9,1.825,200,-4812,0,0
